d,c_n,c_bn,days
9/8/2009,4805.25,7717.899902,474
9/9/2009,4814.25,7776.200195,475
9/10/2009,4819.399902,7828.299805,476
9/11/2009,4829.549805,7914.950195,477
9/14/2009,4808.600098,7985.600098,478
9/15/2009,4892.100098,8210.700195,479
9/16/2009,4958.399902,8362.799805,480
9/17/2009,4965.549805,8433.349609,481
9/18/2009,4976.049805,8379.25,482
9/22/2009,5020.200195,8452,483
9/23/2009,4969.950195,8423.700195,484
9/24/2009,4986.549805,8545,485
9/25/2009,4958.950195,8456.25,486
9/29/2009,5006.850098,8487.700195,487
9/30/2009,5083.950195,8812.349609,488
10/1/2009,5083.399902,8861.049805,489
10/5/2009,5003.200195,8661.700195,490
10/6/2009,5027.399902,8808.400391,491
10/7/2009,4985.75,8750,492
10/8/2009,5002.25,8834.599609,493
10/9/2009,4945.200195,8696.799805,494
10/12/2009,5054.25,8963.799805,495
10/14/2009,5118.200195,9150,496
10/15/2009,5108.850098,9296.75,497
10/16/2009,5142.149902,9526.700195,498
10/20/2009,5114.450195,9476.400391,499
10/21/2009,5063.600098,9273.049805,500
10/22/2009,4988.600098,9090.099609,501
10/23/2009,4997.049805,9188.400391,502
10/26/2009,4970.899902,9033.849609,503
10/27/2009,4846.700195,8698.799805,504
10/28/2009,4826.149902,8609.099609,505
10/29/2009,4750.549805,8417.849609,506
10/30/2009,4711.700195,8438.599609,507
11/3/2009,4563.899902,8255.450195,508
11/4/2009,4710.799805,8506.75,509
11/5/2009,4765.549805,8537.200195,510
11/6/2009,4796.149902,8723.75,511
11/9/2009,4898.399902,9137.5,512
11/10/2009,4881.700195,9179.5,513
11/11/2009,5003.950195,9337.599609,514
11/12/2009,4952.649902,9084.799805,515
11/13/2009,4998.950195,9155.650391,516
11/16/2009,5058.049805,9266.400391,517
11/17/2009,5062.25,9299.599609,518
11/18/2009,5054.700195,9223.849609,519
11/19/2009,4989,9041.650391,520
11/20/2009,5052.450195,9219.049805,521
11/23/2009,5103.549805,9274.099609,522
11/24/2009,5090.549805,9247.650391,523
11/25/2009,5108.149902,9303.150391,524
11/26/2009,5005.549805,9067.650391,525
11/27/2009,4941.75,8945.049805,526
11/30/2009,5032.700195,9046.950195,527
12/1/2009,5122,9250.950195,528
12/2/2009,5123.25,9327.25,529
12/3/2009,5131.700195,9345.25,530
12/4/2009,5108.899902,9245.049805,531
12/7/2009,5066.700195,9175.599609,532
12/8/2009,5147.950195,9290.099609,533
12/9/2009,5112,9146.349609,534
12/10/2009,5134.649902,9205.650391,535
12/11/2009,5117.299805,9097.200195,536
12/14/2009,5105.700195,8996.75,537
12/15/2009,5033.049805,8734.450195,538
12/16/2009,5042.049805,8667.400391,539
12/17/2009,5041.75,8697.200195,540
12/18/2009,4987.700195,8599.950195,541
12/21/2009,4952.600098,8609.549805,542
12/22/2009,4985.850098,8712.5,543
12/23/2009,5144.600098,8919.049805,544
12/24/2009,5178.399902,8968.099609,545
12/29/2009,5187.950195,8991.900391,546
12/30/2009,5169.450195,8994.599609,547
12/31/2009,5201.049805,9029.5,548
1/4/2010,5232.200195,9112.349609,549
